dexId,name,nameZh,types,hp,atk,def,spa,spd,spe,abilityIds
310,manectric,雷电兽,Type.Electric, null,70,75,60,105,60,105,static;lightning-rod
311,plusle,正电拍拍,Type.Electric, null,60,50,40,85,75,95,plus
312,minun,負电拍拍,Type.Electric, null,60,40,50,75,85,95,minus
313,volbeat,电萤虫,Type.Bug, null,65,73,75,47,85,85,illuminate;swarm
314,illumise,甜甜萤,Type.Bug, null,65,47,75,73,85,85,oblivious;tinted-lens
315,roselia,毒蔷薇,Type.Grass, Type.Poison,50,60,45,100,80,65,natural-cure;poison-point
316,gulpin,溶食兽,Type.Poison, null,70,43,53,43,53,40,liquid-ooze;sticky-hold
317,swalot,吞食兽,Type.Poison, null,100,73,83,73,83,55,liquid-ooze;sticky-hold
318,carvanha,利牙鱼,Type.Water, Type.Dark,45,90,20,65,20,65,rough-skin
319,sharpedo,巨牙鲨,Type.Water, Type.Dark,70,120,40,95,40,95,rough-skin
320,wailmer,吼吼鲸,Type.Water, null,130,70,35,70,35,60,water-veil;oblivious
321,wailord,吼鲸王,Type.Water, null,170,90,45,90,45,60,water-veil;oblivious
322,numel,呆火驼,Type.Fire, Type.Ground,60,60,40,65,45,35,oblivious;simple
323,camerupt,喷火驼,Type.Fire, Type.Ground,70,100,70,105,75,40,magma-armor;solid-rock
324,torkoal,煤炭龟,Type.Fire, null,70,85,140,85,70,20,white-smoke;drought
325,spoink,跳跳猪,Type.Psychic, null,60,25,35,70,80,60,thick-fat;own-tempo
326,grumpig,噗噗猪,Type.Psychic, null,80,45,65,90,110,80,thick-fat;own-tempo
327,spinda,晃晃斑,Type.Normal, null,60,60,60,60,60,60,own-tempo;tangled-feet
328,trapinch,大颚蚁,Type.Ground, null,45,100,45,45,45,10,hyper-cutter;arena-trap
329,vibrava,超音波幼虫,Type.Ground, Type.Dragon,50,70,50,50,50,70,levitate
330,flygon,沙漠蜻蜓,Type.Ground, Type.Dragon,80,100,80,80,80,100,levitate
331,cacnea,刺球仙人掌,Type.Grass, null,50,85,40,85,40,35,sand-veil
332,cacturne,梦歌仙人掌,Type.Grass, Type.Dark,70,115,60,115,60,55,sand-veil
333,swablu,青绵鸟,Type.Normal, Type.Flying,45,40,60,40,75,50,natural-cure
334,altaria,七夕青鸟,Type.Dragon, Type.Flying,75,70,90,70,105,80,natural-cure
335,zangoose,猫鼬斩,Type.Normal, null,73,115,60,60,60,90,immunity
336,seviper,饭匙蛇,Type.Poison, null,73,100,60,100,60,65,shed-skin
337,lunatone,月石,Type.Rock, Type.Psychic,90,55,65,95,85,70,levitate
338,solrock,太阳岩,Type.Rock, Type.Psychic,90,95,85,55,65,70,levitate
339,barboach,泥泥鳅,Type.Water, Type.Ground,50,48,43,46,41,60,oblivious;anticipation
340,whiscash,鲶鱼王,Type.Water, Type.Ground,110,78,73,76,71,60,oblivious;anticipation
341,corphish,龙虾小兵,Type.Water, null,43,80,65,50,35,35,hyper-cutter;shell-armor
342,crawdaunt,铁螯龙虾,Type.Water, Type.Dark,63,120,85,90,55,55,hyper-cutter;shell-armor
343,baltoy,天秤偶,Type.Ground, Type.Psychic,40,40,55,40,70,55,levitate
344,claydol,念力土偶,Type.Ground, Type.Psychic,60,70,105,70,120,75,levitate
345,lileep,触手百合,Type.Rock, Type.Grass,66,41,77,61,87,23,suction-cups
346,cradily,摇篮百合,Type.Rock, Type.Grass,86,81,97,81,107,43,suction-cups
347,anorith,太古羽虫,Type.Rock, Type.Bug,45,95,50,40,50,75,battle-armor
348,armaldo,太古盔甲,Type.Rock, Type.Bug,75,125,100,70,80,45,battle-armor
349,feebas,丑丑鱼,Type.Water, null,20,15,20,10,55,80,swift-swim;oblivious
350,milotic,美纳斯,Type.Water, null,95,60,79,100,125,81,marvel-scale;competitive
351,castform,飘浮泡泡,Type.Normal, null,70,70,70,70,70,70,forecast
352,kecleon,变隐龙,Type.Normal, null,60,90,70,60,120,40,color-change
353,shuppet,怨影娃娃,Type.Ghost, null,44,75,35,63,33,45,insomnia;frisk
354,banette,诅咒娃娃,Type.Ghost, null,64,115,65,83,63,65,insomnia;frisk
355,duskull,夜巡灵,Type.Ghost, null,20,40,90,30,90,25,levitate
356,dusclops,彷徨夜灵,Type.Ghost, null,40,70,130,60,130,25,pressure
357,tropius,热带龙,Type.Grass, Type.Flying,99,68,83,72,87,51,chlorophyll;solar-power
358,chimecho,风铃铃,Type.Psychic, null,75,50,80,95,90,65,levitate
359,absol,阿勃梭鲁,Type.Dark, null,65,130,60,75,60,75,pressure;super-luck
360,wynaut,小果然,Type.Psychic, null,95,23,48,23,48,23,shadow-tag
361,snorunt,雪童子,Type.Ice, null,50,50,50,50,50,50,inner-focus;ice-body
362,glalie,冰鬼护,Type.Ice, null,80,80,80,80,80,80,inner-focus;ice-body
363,spheal,海豹球,Type.Ice, Type.Water,70,40,50,55,50,25,thick-fat;ice-body
364,sealeo,海魔狮,Type.Ice, Type.Water,90,60,70,75,70,45,thick-fat;ice-body
365,walrein,帝牙海狮,Type.Ice, Type.Water,110,80,90,95,90,65,thick-fat;ice-body
366,clamperl,珍珠贝,Type.Water, null,35,64,85,74,55,32,shell-armor
367,huntail,猎斑鱼,Type.Water, null,55,104,105,94,75,52,swift-swim
368,gorebyss,樱花鱼,Type.Water, null,55,84,105,114,75,52,swift-swim
369,relicanth,古空棘鱼,Type.Water, Type.Rock,100,90,130,45,65,55,swift-swim;rock-head
370,luvdisc,爱心鱼,Type.Water, null,43,30,55,40,65,97,swift-swim
371,bagon,宝贝龙,Type.Dragon, null,45,75,60,40,30,50,rock-head
372,shelgon,甲壳龙,Type.Dragon, null,65,95,100,60,50,50,rock-head
373,salamence,暴飞龙,Type.Dragon, Type.Flying,95,135,80,110,80,100,intimidate
374,beldum,铁哑铃,Type.Steel, Type.Psychic,40,55,80,35,60,30,clear-body
375,metang,金属怪,Type.Steel, Type.Psychic,60,75,100,55,80,50,clear-body
376,metagross,巨金怪,Type.Steel, Type.Psychic,80,135,130,95,90,70,clear-body
377,regirock,雷吉洛克,Type.Rock, null,80,100,200,50,100,50,clear-body
378,regice,雷吉艾斯,Type.Ice, null,80,50,100,100,200,50,clear-body
379,registeel,雷吉斯奇鲁,Type.Steel, null,80,75,150,75,150,50,clear-body
380,latias,拉帝亚斯,Type.Dragon, Type.Psychic,80,80,90,110,130,110,levitate
381,latios,拉帝欧斯,Type.Dragon, Type.Psychic,80,90,80,130,110,110,levitate
382,kyogre,盖欧卡,Type.Water, null,100,100,90,150,140,90,drizzle
383,groudon,固拉多,Type.Ground, null,100,150,140,100,90,90,drought
384,rayquaza,烈空坐,Type.Dragon, Type.Flying,105,150,90,150,90,95,air-lock
385,jirachi,基拉祈,Type.Steel, Type.Psychic,100,100,100,100,100,100,serene-grace
386,deoxys-normal,代欧奇希斯,Type.Psychic, null,50,150,50,150,50,150,pressure
